FishName,Fish Length (pixel),FishArea(pixel^2),SpineLength(pixel),SpineCurvature(degrees),MaximumAnteriorCurve(degrees),MaximumPosteriorCurve(degrees),AverageVertebraLength,StandardDeviationVertebraLength,AverageVertebraArea,StandardDeviationVertebraArea,AverageBMD,StandardDeviationBMD,AverageDiskHealth,StandardDeviationDiskHealth,Age Cohort,Group
I20200224201917.7.dcm,2182,2182,817865,1935,29.84,17.62,51.563,5.232,1183.7,190.544,-3.768,4.507,-9.550582428,3.96112746,Young 2,Wild Type
I20200224202106.1.dcm,2103,2103,810736,1846,17.78,0,53.114,3.251,1227.1,134.44,8.209,5.79,3.849025436,5.831570414,Young 2,Wild Type
I20200224202106.2.dcm,1542,1542,525724,1455,36.32,0,37.818,1.537,666.5,41.34,-9.877,4.386,-13.59220582,3.994390441,Young 2,Wild Type
I20200224202106.3.dcm,1162,1162,603156,1486,0,0,41.057,1.319,805,104.757,-2.608,4.239,-7.833477188,4.00610816,Young 2,Wild Type
I20200224202106.4.dcm,1225,1225,514646,1532,0,15.03,40.249,2.471,775.1,70.285,-8.356,4.88,-11.69918523,4.83293689,Young 2,Wild Type
I20200224202106.5.dcm,1391,1391,653057,1703,0,0,44.23,2.3,988.5,93.782,3.861,5.907,-0.005377666342,5.225672899,Young 2,Wild Type
I20200224202106.6.dcm,732,732,365716,1246,0,0,35.004,2.062,556.1,64.861,-14.87,3.315,-17.85193554,3.037175865,Young 2,Wild Type
I20200224202106.7.dcm,1298,1298,612947,1556,0,0,41.998,2.463,894.7,127.844,-1.51,4.684,-7.463450168,4.33885071,Young 2,Wild Type
I20200224203422.1.dcm,2092,2092,822397,1916,13.34,0,55.324,7.094,1205.364,154.609,4.553,6.934,-0.5089979893,6.679660662,Old,1
I20200224203422.2.dcm,2988,2988,1323457,2297,9.57,0,65.321,4.611,1833.1,299.518,31.481,7.169,24.10093175,6.525460278,Old,1
I20200224203422.3.dcm,2422,2422,1449220,2386,0,0,79.893,31.263,2857.667,952.145,37.098,9.948,38.99036199,10.03974391,Old,1
I20200224203422.6.dcm,2580,2580,1415320,2495,0,0,84.367,50.877,2652.75,1454.161,36.135,6.961,37.1612478,9.897578048,Old,1
I20200224203551.2.dcm,2772,2772,1578949,2448,0,0,74.252,32.213,2409.778,903.976,36.707,5.487,32.98599847,7.253854574,Old,1
I20200224203707.5.dcm,2895,2895,1504666,2486,11.93,10.31,70.788,24.459,1977.444,701.603,30.895,7.321,24.03555695,8.681159789,Old,1
I20200226165956.1.dcm,2333,2333,898361,1905,16.8,0,51.653,2.852,1316.5,108.388,13.922,5.247,10.69205503,4.925403362,Young 2,4
I20200226165956.2.dcm,3117,3117,2071410,2782,17.65,0,63.526,6.55,2204.4,312.564,31.734,7.521,25.16648101,6.504422069,Young 2,4
I20200226165956.3.dcm,3186,3186,2011513,2761,17.76,10.51,71.398,5.179,2556,267.597,29.916,7.672,24.52902795,7.550072186,Young 2,4
I20200226165956.4.dcm,2123,2123,1257147,2122,0,0,63.109,8.926,1621.7,195.599,24.273,5.884,17.78494784,6.064601188,Young 2,4
I20200226165956.5.dcm,1977,1977,1080235,2243,0,0,61.081,4.141,1753,259.719,25.771,5.764,17.89103202,5.331099805,Young 2,4
I20200226165956.6.dcm,2519,2519,1397764,2366,10.95,0,62.882,3.498,1966.3,198.678,31.516,5.887,23.36676889,6.517768255,Young 2,4
I20200226170331.1.dcm,2512,2512,1010507,1924,15.91,0,49.09,3.459,1186.6,138.636,14.38,5.358,10.93482284,5.214458805,Young 2,Wild Type
I20200226170331.4.dcm,2191,2191,1934814,2497,36.78,0,93.436,12.694,2214.6,236.871,29.691,8.522,20.73974301,8.508622276,Young 2,Wild Type
I20200226170454.1.dcm,2515,2515,1012595,1956,16.53,0,50.026,3.829,1263.9,110.775,14.493,5.211,11.05960327,4.952306414,Young 2,Wild Type
I20200226170454.6.dcm,3114,3114,1836063,2629,13.18,0,73.033,26.791,2419,876.763,37.814,8.811,33.67690982,8.131079582,Young 2,Wild Type
I20200226170818.1.dcm,2493,2493,985670,1959,18.39,0,50.537,3.913,1206.1,179.154,13.255,5.076,9.733182987,4.861576205,Old,Wild Type
I20200226171330.1.dcm,2443,2443,960536,1950,18.14,0,50.632,2.595,1221.2,171.948,13.738,5.202,10.31589595,4.913516374,Very Young,5
I20200226171330.2.dcm,1800,1800,1030620,1960,0,0,61.431,3.725,1505.3,134.792,16.942,5.209,10.25989813,4.702465275,Very Young,5
